platform,product,comment,score
Wildberries,iPhone,Shat lavn e hianali ashxatum e,5
Ozon,Sneakers,Vat vorak er arajin orn isk patrvvec,1
Temu,Kitchen tool,Shat ushacav bayc lavn e,4
Amazon,Laptop,Excellent product highly recommended,5
AliExpress,Watch,Es inch xabeutyun e voch mi ban chi miacnum,1
Wildberries,Dress,Shat sirun e nstec vras goh em,5
Ozon,Coffee Maker,Shat djgoh em plitkan kotrvac er,1
Temu,Toys,Erexes shat uraxacav vorakov xaxaliq e,5
Amazon,Headphones,The sound quality is poor not worth it,2
AliExpress,Phone Case,Lavn e bayc guyny mi qich urish er,4
Wildberries,Vacuum,Hzor qashum e tuny paylum e,5
Ozon,Power Bank,Chi licqavorum mi areq,1
Temu,Tools,Shat harmar gorciqner en arag hasav,5
Amazon,Skincare,My skin feels amazing love it,5
AliExpress,Cables,Mek shabat ashxatec u lary ktrvec,1
Wildberries,iPhone,Գերազանց հեռախոս է շատ արագ հասավ,5
Ozon,Sneakers,Շատ կոշտ են ու անհարմար չհավանեցի,2
Temu,Dress,Իրականում ավելի տգեղ է քան նկարում,1
Amazon,Watch,Looks very cheap and plastic,2
AliExpress,Electronics,Հիանալի որակ է գինը շատ հարմար է,5
Wildberries,Cosmetics,Հոտը սարսափելի է ուժեղ ալերգիա տվեց,1
Ozon,Furniture,Շատ հեշտ հավաքվեց ու որակով է,5
Temu,Gadget,Shat hetaqrqir ban e goh em,5
Amazon,Book,Best book I ever read fast delivery,5
AliExpress,Kitchen,Ամեն ինչ սուպեր է ապրեք,5
Wildberries,Laptop,Էկրանը վառվեց միացնելուց 5 րոպե հետո,1
Ozon,Home,Լավ փաթեթավորում էր ամեն ինչ տեղն է,5
Temu,Bag,Կարերը քանդված էին սարսափելի որակ,1
Amazon,Shoes,Too small not the size I ordered,2
AliExpress,Jewelry,Շատ նուրբ ու սիրուն է շնորհակալություն,5
Wildberries,Pet Food,Շունս մեծ հաճույքով ուտում է,5
Ozon,Tools,Սխալ մոդել են ուղարկել դժգոհ եմ,1
Temu,Watch,Մարտկոցը 1 ժամ էլ չի պահում,1
Amazon,iPhone,Original product very satisfied,5
AliExpress,Lighting,Շատ պայծառ է ու որակով,5
Wildberries,Vacuum,Ձայնը շատ բարձր է գլուխս տարավ,2
Ozon,Sneakers,Original ապրանք է շատ գոհ եմ,5
Temu,Clothing,Shat vat hot e galis kotoric,1
Amazon,Gadgets,Very useful tool for my daily life,5
AliExpress,Misc,Էժանագին որակ մի գնեք,1
Wildberries,iPhone,Lave bayc tank e,4
Ozon,Coffee Maker,Lav epum e surjy shat goh em,5
Temu,Dress,Գույնը սխալ էր բայց որակը լավն է,4
Amazon,Laptop,Slow performance not as described,2
AliExpress,Watch,Գերազանց ժամացույց է սիրեցի,5
Wildberries,Headphones,Shat harmar en akanjneris,5
Ozon,Power Bank,Lave arag e licqavorum,5
